name,university,university_state,carnegie,discipline,rmp_url,tenure_year,confidence,confidence_label,rank,num_ratings,professor_id
Suzanne Dietrich,Arizona State University,AZ,R1,Computer Science,https://www.ratemyprofessors.com/professor/662021,,0.4,low,Full Professor,49,662021
Mohamed Sarwat,Arizona State University,AZ,R1,Computer Science,https://www.ratemyprofessors.com/professor/1981360,2021.0,0.95,high,Associate Professor,36,1981360
Dennis Anderson,Arizona State University,AZ,R1,Computer Information Systems,https://www.ratemyprofessors.com/professor/1634242,,0.4,low,Associate Professor,35,1634242
Yezhou Yang,Arizona State University,AZ,R1,Computer Science,https://www.ratemyprofessors.com/professor/2289284,2022.0,0.7,medium,Associate Professor,20,2289284
Eduardo Blanco,Arizona State University,AZ,R1,Computer Science,https://www.ratemyprofessors.com/professor/2760667,2020.0,0.9,high,Associate Professor,5,2760667
Howard Straubing,Boston College,MA,R1,Computer Science,https://www.ratemyprofessors.com/professor/2152187,,0.4,low,Associate Professor,8,2152187
Kwai-Ting Lan,California State University Sacramento,CA,R2,Computer Science,https://www.ratemyprofessors.com/professor/1080255,,0.4,low,Full Professor,15,1080255
Cui Zhang,California State University Sacramento,CA,R2,Computer Science,https://www.ratemyprofessors.com/professor/1441838,2000.0,0.9,high,Full Professor,13,1441838
Weide Chang,California State University Sacramento,CA,R2,Computer Science,https://www.ratemyprofessors.com/professor/2541054,2002.0,0.9,high,Associate Professor,7,2541054
John Magee,Clark University,MA,R2,Computer Science,https://www.ratemyprofessors.com/professor/1887854,2020.0,0.7,medium,Associate Professor,10,1887854
Brian Kokensparger,Creighton University,NE,R2,Computer Science,https://www.ratemyprofessors.com/professor/1306011,2004.0,0.9,high,Associate Professor,28,1306011
Samer Al-Khateeb,Creighton University,NE,R2,Computer Science,https://www.ratemyprofessors.com/professor/2476945,2024.0,0.95,high,Associate Professor,24,2476945
Catie Baker,Creighton University,NE,R2,Computer Science,https://www.ratemyprofessors.com/professor/2311701,2023.0,0.7,medium,Associate Professor,9,2311701
