name,university,university_state,carnegie,discipline,quality,num_ratings,would_take_again_pct,difficulty,rmp_url,current_title,rank,phd_year,tenure_year,tenure_year_source,confidence,confidence_label,llm_notes,stage1_title
Mohamed Sarwat,Arizona State University,AZ,R1,Computer Science,3.9,36,71.875,3.3,https://www.ratemyprofessors.com/professor/1981360,Associate Professor,Associate Professor,2014.0,2021,explicit,0.95,high,Dr. Sarwat was explicitly mentioned to have become a tenured Associate Professor in 2021.,Associate Professor
Yezhou Yang,Arizona State University,AZ,R1,Computer Science,4.4,20,90.0,2.9,https://www.ratemyprofessors.com/professor/2289284,Associate Professor,Associate Professor,2016.0,2022,asst_prof_plus_6,0.7,medium,"Dr. Yang joined ASU as an Assistant Professor in 2016 and typically receives tenure after six years, estimating tenure in 2022.",Associate Professor
Eduardo Blanco,Arizona State University,AZ,R1,Computer Science,4.8,5,100.0,2.8,https://www.ratemyprofessors.com/professor/2760667,Associate Professor,Associate Professor,2011.0,2020,promotion_year,0.9,high,Dr. Blanco was promoted to Associate Professor in May 2020.,Associate Professor
John Magee,Clark University,MA,R2,Computer Science,3.5,10,57.1429,3.3,https://www.ratemyprofessors.com/professor/1887854,Provost and Vice President for Academic Affairs,Associate Professor,2011.0,2020,asst_prof_plus_6,0.7,medium,"Magee was appointed as an Assistant Professor in 2014, and typically achieves tenure after 6 years, which aligns with the year 2020.","Associate Professor, Computer Science; Provost and Vice President of Academic Affairs"
Samer Al-Khateeb,Creighton University,NE,R2,Computer Science,4.3,24,91.6667,2.5,https://www.ratemyprofessors.com/professor/2476945,Associate Professor,Associate Professor,2018.0,2024,explicit,0.95,high,Dr. Samer Al-Khateeb was explicitly mentioned to have been granted tenure in August 2024.,Associate Professor
Catie Baker,Creighton University,NE,R2,Computer Science,3.3,9,66.6667,3.9,https://www.ratemyprofessors.com/professor/2311701,Associate Professor,Associate Professor,2017.0,2023,asst_prof_plus_6,0.7,medium,Estimated tenure year based on joining as Assistant Professor in Fall 2017 and typical promotion timeline.,Associate Professor
Eli Brown,DePaul University,IL,R2,Computer Science,3.1,14,42.8571,2.9,https://www.ratemyprofessors.com/professor/2153549,Associate Professor,Associate Professor,,2022,promotion_year,0.9,high,"Dr. Brown was promoted to Associate Professor with tenure in 2022, but the exact year he completed his Ph.D. is not specified.",Associate Professor
Kamran Sartipi,East Carolina University,NC,R2,Computer Science,1.2,29,10.3448,4.2,https://www.ratemyprofessors.com/professor/2186477,Associate Professor,Associate Professor,,2022,asst_prof_plus_6,0.7,medium,"Dr. Sartipi joined ECU as an Assistant Professor in 2016, and tenure is estimated to be granted after six years, leading to a tenure year of 2022.",Associate Professor
Venkat Gudivada,East Carolina University,NC,R2,Computer Science,4.8,9,100.0,2.9,https://www.ratemyprofessors.com/professor/2147096,Chair of the Computer Science Department,Full Professor,,2015,promotion_year,0.9,high,Dr. Gudivada likely became a tenured Associate Professor around 2015 based on his progression from assistant professor to chair.,Professor
Nic Herndon,East Carolina University,NC,R2,Computer Science,3.4,8,62.5,3.8,https://www.ratemyprofessors.com/professor/2552693,Associate Professor and Graduate Program Director,Associate Professor,2016.0,2024,promotion_year,0.9,high,Promoted to Associate Professor in August 2024.,Associate Professor
Jinho Choi,Emory University,GA,R1,Computer Science,4.0,34,55.5556,4.0,https://www.ratemyprofessors.com/professor/1996531,"Associate Professor of Computer Science, Quantitative Theory and Methods, and Linguistics",Associate Professor,2012.0,2020,asst_prof_plus_6,0.7,medium,Tenure is estimated based on the typical duration of six years in the Assistant Professor role starting from 2014.,Associate Professor
Adam Aviv,George Washington University,DC,R1,Computer Science,2.5,12,41.6667,3.7,https://www.ratemyprofessors.com/professor/2570564,Associate Professor of Computer Science,Associate Professor,2012.0,2019,assoc_prof_start,0.85,high,"Adam Aviv became an Associate Professor at GWU in August 2019, which is explicitly stated.",Associate Professor
